filename,cluster_label
../Dataset\ISIC_Melanoma_Data\benign\1000.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1001.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1002.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1004.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1005.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1007.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1008.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1009.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1010.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1011.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1012.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1014.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1015.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1016.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1017.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1020.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1021.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1022.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1024.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1026.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1027.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1028.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1030.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1031.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1032.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1035.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1036.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1037.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1038.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1039.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1040.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1041.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1043.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1045.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1046.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1047.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1048.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1049.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1050.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1051.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1052.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1053.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1054.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1056.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1057.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1058.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1059.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1060.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1062.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1063.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1064.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1065.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1066.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1067.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1068.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1069.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1071.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1072.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1073.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1075.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1076.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1078.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1079.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1081.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1082.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1083.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1084.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1085.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1086.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1089.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1090.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1091.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1093.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1094.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1095.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1096.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1097.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1098.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1099.jpg,4
../Dataset\ISIC_Melanoma_Data\benign\1100.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1101.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1102.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1103.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1104.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1105.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1106.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1107.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1108.jpg,3
../Dataset\ISIC_Melanoma_Data\benign\1109.jpg,0
../Dataset\ISIC_Melanoma_Data\benign\1111.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1113.jpg,1
../Dataset\ISIC_Melanoma_Data\benign\1114.jpg,2
../Dataset\ISIC_Melanoma_Data\benign\1116.jpg,5
../Dataset\ISIC_Melanoma_Data\benign\1117.jpg,3
